Name,Ticker,Sector,Country,Market_Cap,Revenue,Beta,EBITDA,Free_Cash_Flow,Total_Debt,Total_Cash,Dividend_Yield,Revenue_Growth,ROE,Operating_Margin,Profit_Margin,Debt_to_Equity,Revenue_LC
GLOBANT SA,GLOB,Technology,Luxembourg,2128895488.0,2484890880.0,1.173,496978176.0,298186905.6,532223872.0,212889548.8,0.0,0.08,0.12,0.15,0.1,50,2484890880.0
ROBINHOOD MARKETS INC.,HOOD,Financial Services,United States,67982700544.0,4472999936.0,2.44,894599987.2,536759992.32,16995675136.0,6798270054.400001,0.0,0.08,0.12,0.15,0.1,50,4472999936.0
KADANT INC.,KDA.F,Industrials,United States,3468989306.88,1105999902.72,1.228,221199980.54400003,132719988.3264,867247326.72,346898930.688,0.0,0.08,0.12,0.15,0.1,50,1105999902.72
ACCENTURE PLC,ACN,Technology,Ireland,137277046784.0,70725558272.0,1.236,14145111654.400002,8487066992.639999,34319261696.0,13727704678.400002,0.0,0.08,0.12,0.15,0.1,50,70725558272.0
SYNOPSYS INC.,SNPS,Technology,United States,80405299200.0,7054177792.0,1.126,1410835558.4,846501335.04,20101324800.0,8040529920.0,0.0,0.08,0.12,0.15,0.1,50,7054177792.0
TOTALENERGIES SE,TTE,Energy,France,164190830592.0,182344007680.0,0.253,36468801536.0,21881280921.6,41047707648.0,16419083059.2,0.0,0.08,0.12,0.15,0.1,50,182344007680.0
FPT CORPORATION,FPTVN19.BK,Technology,Vietnam,201013854208.0,0.0,0.392,0.0,0.0,50253463552.0,20101385420.8,0.0,0.08,0.12,0.15,0.1,50,0.0
SIEMENS AG,SIE.DE,Industrials,Germany,199414999941.12003,86076000829.44,1.177,17215200165.888,10329120099.5328,49853749985.28001,19941499994.112003,0.0,0.08,0.12,0.15,0.1,50,86076000829.44
INTERNET INITIATIVE JAPAN INC.,IIJ.F,Communication Services,Japan,2201595033.6000004,2401073995.972608,0.382,480214799.1945216,288128879.51671296,550398758.4000001,220159503.36000004,0.0,0.08,0.12,0.15,0.1,50,363799090298.88
ELASTIC INC.,ESTC,Technology,Netherlands,6354560512.0,1609283968.0,0.951,321856793.6,193114076.16,1588640128.0,635456051.2,0.0,0.08,0.12,0.15,0.1,50,1609283968.0
BULL SA,BULL,Technology,United States,2970755584.0,514797408.0,-0.102,102959481.6,61775688.96,742688896.0,297075558.40000004,0.0,0.08,0.12,0.15,0.1,50,514797408.0
VITEC SOFTWARE GROUP AB,VIT-B.ST,Technology,Sweden,871103779.84,345180885.76,0.938,69036177.152,41421706.2912,217775944.96,87110377.98400001,0.0,0.08,0.12,0.15,0.1,50,345180885.76
"WEIR GROUP PLC, THE",42W.F,Industrials,United Kingdom,11323801313.28,2692655861.76,1.044,538531172.3520001,323118703.4112,2830950328.32,1132380131.328,0.0,0.08,0.12,0.15,0.1,50,2692655861.76
ADOBE SYSTEMS INC.,ADBE,Technology,United States,108337864704.0,23768999936.0,1.515,4753799987.2,2852279992.32,27084466176.0,10833786470.400002,0.0,0.08,0.12,0.15,0.1,50,23768999936.0
SMX (SECURITY MATTERS) PLC,SMX,Industrials,Ireland,501368576.0,0.0,-2.923,0.0,0.0,125342144.0,50136857.6,0.0,0.08,0.12,0.15,0.1,50,0.0
MOOG INC.,MOG-A,Industrials,United States,10278313984.0,4053088000.0,0.956,810617600.0,486370560.0,2569578496.0,1027831398.4,0.0,0.08,0.12,0.15,0.1,50,4053088000.0
TRANE TECHNOLOGIES PLC,TT,Industrials,Ireland,103838162944.0,21321900032.0,1.211,4264380006.4,2558628003.84,25959540736.0,10383816294.400002,0.0,0.08,0.12,0.15,0.1,50,21321900032.0
VIASAT INC.,VSAT,Technology,United States,6371171840.0,4616074240.0,1.454,923214848.0,553928908.8,1592792960.0,637117184.0,0.0,0.08,0.12,0.15,0.1,50,4616074240.0
MSCI INC.,MSCI,Financial Services,United States,39332544512.0,3134458880.0,1.281,626891776.0,376135065.6,9833136128.0,3933254451.2,0.0,0.08,0.12,0.15,0.1,50,3134458880.0
REUTERS HOLDINGS PLC,TRI,Industrials,Canada,37017325568.0,7475999744.0,0.296,1495199948.8000002,897119969.28,9254331392.0,3701732556.8,0.0,0.08,0.12,0.15,0.1,50,7475999744.0
VIA TRANSPORTATION INC.,C0I.F,Technology,United States,1397357429.76,439680960.0,,87936192.0,52761715.2,349339357.44,139735742.976,0.0,0.08,0.12,0.15,0.1,50,439680960.0
ATLASSIAN CORPORATION PLC,TEAM,Technology,Australia,21315796992.0,5759927808.0,0.88,1151985561.6,691191336.9599999,5328949248.0,2131579699.2,0.0,0.08,0.12,0.15,0.1,50,5759927808.0
BAE SYSTEMS PLC,BA.L,Industrials,United Kingdom,751359550.6688,348056201.6256,-0.009,69611240.32512,41766744.195072,187839887.6672,75135955.06688,0.0,0.08,0.12,0.15,0.1,50,348056201.6256
SANDVIK AB,SAND.ST,Industrials,Sweden,44437248737.28,11464599756.8,1.341,2292919951.36,1375751970.8159995,11109312184.32,4443724873.728,0.0,0.08,0.12,0.15,0.1,50,11464599756.8
IB GROUP SA,IBM,Technology,United States,241909465088.0,67534999552.0,0.691,13506999910.400002,8104199946.24,60477366272.0,24190946508.800003,0.0,0.08,0.12,0.15,0.1,50,67534999552.0
HITACHI ENERGY AG,POWERINDIA.BO,Industrials,India,12284160638.976,874337992.704,0.12,174867598.5408,104920559.12448,3071040159.744,1228416063.8976,0.0,0.08,0.12,0.15,0.1,50,874337992.704
SNAP INC.,SNAP,Communication Services,United States,7938073600.0,5931446784.0,0.796,1186289356.8,711773614.0799999,1984518400.0,793807360.0,0.0,0.08,0.12,0.15,0.1,50,5931446784.0
CGI HOLDING CORPORATION,GIB,Technology,Canada,15858875392.0,16205783040.0,0.409,3241156608.0,1944693964.8,3964718848.0,1585887539.2,0.0,0.08,0.12,0.15,0.1,50,16205783040.0
BLACKLINE INC.,BL,Technology,United States,2343073024.0,700427008.0,0.865,140085401.6,84051240.96,585768256.0,234307302.4,0.0,0.08,0.12,0.15,0.1,50,700427008.0
IPSOS SA,IPS.PA,Industrials,France,1397320243.2,2653873182.7200003,0.656,530774636.5440001,318464781.9264,349330060.8,139732024.32000002,0.0,0.08,0.12,0.15,0.1,50,2653873182.7200003
